Адрес;Зона/микрорайон;Проблема (категория);Заявок;Примеры формулировок
Скандинавский бульвар, 9;Скандинавский бульвар;Шум и ночные гонки;1;Шум по ночам и нет парковок
Скандинавский бульвар, 9;Скандинавский бульвар;Парковки;1;Шум по ночам и нет парковок
Скандинавский бульвар, 9;Скандинавский бульвар;Транспорт и автобусы;1;Нужен школьный автобус
Фитаревская, 15;Фитаревская;Мусор и уборка;1;Не собирают мусор, нет парковок
Фитаревская, 15;Фитаревская;Парковки;1;Не собирают мусор, нет парковок
Фитаревская, 15;Фитаревская;Запахи и Фуд Сити / промзона;1;Запах канализации и ливнёвки со стороны Фитаревской, 19 — брак застройщика
Фитаревская, 15;Фитаревская;Управляющая компания и ЖКХ;1;Запах канализации и ливнёвки со стороны Фитаревской, 19 — брак застройщика
Фитаревская, 17;Фитаревская;Лифты;1;Лифты застревают
Фитаревская, 17;Фитаревская;Вырубка дубов;1;Срезают дубы, строят дорогу под окнами — постоянный шум, нет парковок, невозможно записаться в МВД
Фитаревская, 17;Фитаревская;Шум и ночные гонки;1;Срезают дубы, строят дорогу под окнами — постоянный шум, нет парковок, невозможно записаться в МВД
Фитаревская, 17;Фитаревская;Парковки;1;Срезают дубы, строят дорогу под окнами — постоянный шум, нет парковок, невозможно записаться в МВД
Фитаревская, 17;Фитаревская;Госуслуги и ведомства;1;Срезают дубы, строят дорогу под окнами — постоянный шум, нет парковок, невозможно записаться в МВД
Эдварда Грига, 7;Эдварда Грига;Парковки;1;Больше парковок
Эдварда Грига, 7;Эдварда Грига;Вырубка дубов;1;Дубы не срезали (просьба сохранить)
Ясная, 5;Ясная;Освещение;2;Ночью не работает освещение | Часто не работает освещение — тяжело слабовидящим
Ясная, 5;Ясная;Доступная среда;1;Часто не работает освещение — тяжело слабовидящим
Адрес не указан;Не указан;Точечная застройка;1;Много застройки, нет парков и прогулочных зон
Адрес не указан;Не указан;Благоустройство и детские площадки;1;Много застройки, нет парков и прогулочных зон
Академическая площадь, 4 (Троицк);Троицк;Мигранты и общественный порядок;1;Мигранты, плохо с метро
Академическая площадь, 4 (Троицк);Троицк;Транспорт и автобусы;1;Мигранты, плохо с метро
Бачуринская улица;Бачуринская;Дороги и тротуары;1;Заковыряли Бачуринскую, дикая вырубка деревьев по всей Коммунарке
Бачуринская улица;Бачуринская;Вырубка дубов;1;Заковыряли Бачуринскую, дикая вырубка деревьев по всей Коммунарке
Бачуринская, 17;Бачуринская;Дороги и тротуары;1;Всё перекопано, УК не реагирует на заявки
Бачуринская, 17;Бачуринская;Управляющая компания и ЖКХ;1;Всё перекопано, УК не реагирует на заявки
Бачуринская, 19;Бачуринская;Борщевик;1;Не борются с борщевиком, нет оборудования для маломобильных, поток мигрантов из-за Фуд Сити, вырубка дубов-аборигенов без ухода за насаждениями
Бачуринская, 19;Бачуринская;Доступная среда;1;Не борются с борщевиком, нет оборудования для маломобильных, поток мигрантов из-за Фуд Сити, вырубка дубов-аборигенов без ухода за насаждениями
Бачуринская, 19;Бачуринская;Мигранты и общественный порядок;1;Не борются с борщевиком, нет оборудования для маломобильных, поток мигрантов из-за Фуд Сити, вырубка дубов-аборигенов без ухода за насаждениями
Бачуринская, 19;Бачуринская;Вырубка дубов;1;Не борются с борщевиком, нет оборудования для маломобильных, поток мигрантов из-за Фуд Сити, вырубка дубов-аборигенов без ухода за насаждениями
Бульвар Веласкеса, 3/2;Испанские кварталы;Запахи и Фуд Сити / промзона;1;Посторонние запахи, воняет
Бульвар Веласкеса, 5к2;Испанские кварталы;Запахи и Фуд Сити / промзона;1;Фуд Сити мешает, воняет
Бульвар Веласкеса, 5к5;Испанские кварталы;Спортивные площадки;1;Отремонтировать баскетбольную площадку
Бульвар Веласкеса, 7;Испанские кварталы;Мусор и уборка;1;Грязь, окурки, переполненные мусорки
Бульвар Веласкеса, 8;Испанские кварталы;Спортивные площадки;1;Баскетбольная площадка (ремонт)
Гарден парк, 1;Гарден парк;Освещение;1;Плохое освещение
Дзен-кварталы, квартал 160, к. 1в;Дзен-кварталы;Шум и ночные гонки;1;Электродепо шумит — отгородить лесополосой, высадить деревья и кусты
Дзен-кварталы, квартал 160, к. 1в;Дзен-кварталы;Озеленение и уход за газонами;1;Электродепо шумит — отгородить лесополосой, высадить деревья и кусты
ЖК Идальго, 1;Идальго;Парковки;1;Парковочные места
ЖК Николин Парк, ул. Николо-Хованская, 16;Николо-Хованская / Николин Парк;Шлагбаумы и доступ во двор;1;Вернуть шлагбаум и охрану на въезд в ЖК
ЖК Николин Парк, ул. Николо-Хованская, 16;Николо-Хованская / Николин Парк;Безопасность и охрана;1;Вернуть шлагбаум и охрану на въезд в ЖК
Зона Фуд Сити;Фуд Сити;Мигранты и общественный порядок;1;Нелегальное такси, количество мигрантов, нет контролёров в автобусах
Зона Фуд Сити;Фуд Сити;Транспорт и автобусы;1;Нелегальное такси, количество мигрантов, нет контролёров в автобусах
Лазурная, 14;Лазурная;Лифты;1;Лифты застревают
Лазурная, 7;Лазурная;Школы, сады и поликлиники;1;"Не дают место в детском саду; на Бачуринской всё перекопано"
Лазурная, 7;Лазурная;Дороги и тротуары;1;"Не дают место в детском саду; на Бачуринской всё перекопано"
Лазурная, 9;Лазурная;Мусор и уборка;1;Голуби пачкают всё вокруг
Липовый парк, 10к1;Липовый парк;Парковки;1;Нужен кинотеатр и подземные парковки, убрать самокаты, чаще пустить 992 и наладить 983
Липовый парк, 10к1;Липовый парк;Транспорт и автобусы;1;Нужен кинотеатр и подземные парковки, убрать самокаты, чаще пустить 992 и наладить 983
Липовый парк, 10к1;Липовый парк;Самокаты и доставщики;1;Нужен кинотеатр и подземные парковки, убрать самокаты, чаще пустить 992 и наладить 983
Липовый парк, 10к1;Липовый парк;Досуг и культура;1;Нужен кинотеатр и подземные парковки, убрать самокаты, чаще пустить 992 и наладить 983
Липовый парк, 10к2;Липовый парк;Досуг и культура;1;Нормальные развлечения — «Лето в Москве» и зимние забавы
Липовый парк, 10к4;Липовый парк;Шлагбаумы и доступ во двор;1;Нужен шлагбаум
Липовый парк, 3;Липовый парк;Мусор и уборка;1;Мусор редко вывозят, особенно по выходным
Липовый парк, 4к3;Липовый парк;Парковки;1;Нет парковок, крысы, лишние дорожные знаки, отключается электроэнергия
Липовый парк, 4к3;Липовый парк;Крысы и насекомые;1;Нет парковок, крысы, лишние дорожные знаки, отключается электроэнергия
Липовый парк, 4к3;Липовый парк;Электроснабжение;1;Нет парковок, крысы, лишние дорожные знаки, отключается электроэнергия
Липовый парк, 4к3;Липовый парк;Дороги и тротуары;1;Нет парковок, крысы, лишние дорожные знаки, отключается электроэнергия
Липовый парк, 5;Липовый парк;Парковки;1;Парковочные места
Липовый парк, 7к1;Липовый парк;Крысы и насекомые;1;Тараканы
Липовый парк, 7к2;Липовый парк;Шлагбаумы и доступ во двор;1;Отсутствуют шлагбаумы
Липовый парк, 8к1;Липовый парк;Лифты;1;Лифты плохо работают и застревают, второй год нет цветов, долгий светофор на перекрёстке
Липовый парк, 8к1;Липовый парк;Озеленение и уход за газонами;1;Лифты плохо работают и застревают, второй год нет цветов, долгий светофор на перекрёстке
Липовый парк, 8к1;Липовый парк;Дороги и тротуары;1;Лифты плохо работают и застревают, второй год нет цветов, долгий светофор на перекрёстке
Лобановский лес, 2;Лобановский лес;Парковки;1;Парковочные места
Метро Потапово, 2в;Потапово;Транспорт и автобусы;1;Автобусы должны ходить чаще
Поселение Воскресенское, 34;Воскресенское;Безопасность и охрана;1;Конфликт с соседкой: распространение личных переписок и фотографий
Поселение Воскресенское, 39а;Воскресенское;Парковки;1;"Парковок нет; больше парков, спортплощадок, баз отдыха"
Поселение Воскресенское, 39а;Воскресенское;Благоустройство и детские площадки;1;"Парковок нет; больше парков, спортплощадок, баз отдыха"
Поселение Воскресенское, 39а;Воскресенское;Спортивные площадки;1;"Парковок нет; больше парков, спортплощадок, баз отдыха"
Посёлок Газопровод, 14;Газопровод;Транспорт и автобусы;1;Проблема с транспортом
Посёлок Коммунарка, 17;Коммунарка (посёлок);Шум и ночные гонки;1;Постоянно собираются шумные компании
Посёлок Коммунарка, 6, подъезд 1;Коммунарка (посёлок);Управляющая компания и ЖКХ;1;УК плохо работает: паутина и грязь на окнах
Посёлок Коммунарка, 6, подъезд 1;Коммунарка (посёлок);Мусор и уборка;1;УК плохо работает: паутина и грязь на окнах
Потапово;Потапово;Парковки;1;Мало парковок
Прокшинский проспект, 9;Прокшино;Площадки для выгула собак;1;Больше площадок для выгула собак
Саларьево, 7;Саларьево;Парковки;1;Парковок нет
Скандинавский бульвар, 12;Скандинавский бульвар;Вырубка дубов;1;Вырубка дубов под проект «Холим», скачет электричество
Скандинавский бульвар, 12;Скандинавский бульвар;Электроснабжение;1;Вырубка дубов под проект «Холим», скачет электричество
Скандинавский бульвар, 12;Скандинавский бульвар;Точечная застройка;1;Вырубка дубов под проект «Холим», скачет электричество
Скандинавский бульвар, 1к2;Скандинавский бульвар;Управляющая компания и ЖКХ;1;Жилищник: уборка, озеленение, борщевик за домом, лавочки красят только по заявлениям
Скандинавский бульвар, 1к2;Скандинавский бульвар;Мусор и уборка;1;Жилищник: уборка, озеленение, борщевик за домом, лавочки красят только по заявлениям
Скандинавский бульвар, 1к2;Скандинавский бульвар;Озеленение и уход за газонами;1;Жилищник: уборка, озеленение, борщевик за домом, лавочки красят только по заявлениям
Скандинавский бульвар, 1к2;Скандинавский бульвар;Борщевик;1;Жилищник: уборка, озеленение, борщевик за домом, лавочки красят только по заявлениям
Скандинавский бульвар, 1к3;Скандинавский бульвар;Парковки;1;Парковочные места
Соседский Стан, 10;Соседский Стан;Мусор и уборка;1;Мусор не убирают
Соседский Стан, 17;Соседский Стан;Питбайки и мотошум;1;Громко ездят питбайки
Улица Александры Монаховой, 43к1 и 43к2;Александры Монаховой;Озеленение и уход за газонами;1;Озеленение вдоль домов
Улица Александры Монаховой, 43с1;Александры Монаховой;Парковки;1;Парковочные места
Улица Сальвадора Дали, 1к3;Испанские кварталы;Дороги и тротуары;1;Неровные дороги, выступы и кирпичи на тротуарах у Бургер Кинга, лужи
Улица Сервантеса, 1к1;Испанские кварталы;Свалка;1;Рядом огромная свалка, жалоба в министерство без реакции
Фитаревская, 18;Фитаревская;Вырубка дубов;1;Вырезают дубы, нормально сделать парки
Фитаревская, 18;Фитаревская;Благоустройство и детские площадки;1;Вырезают дубы, нормально сделать парки
Фитаревская, 19;Фитаревская;Питбайки и мотошум;1;Гоняют питбайки
Фитаревская, 2;Фитаревская;Электроснабжение;1;Часто выключают свет
Фитаревская, 21;Фитаревская;Парковки;1;"Больше парковок, лишние знаки — «обдираловка»; отменить мобилизацию"
Фитаревская, 21;Фитаревская;Прочее / федеральные темы;1;"Больше парковок, лишние знаки — «обдираловка»; отменить мобилизацию"
Фитаревская, 27;Фитаревская;Наркомания, алкоголь, бездомные;1;Бездомным нужно найти дом
Эдварда Грига, 15;Эдварда Грига;Парковки;1;Парковочные места
Ясная, 6;Ясная;Парковки;1;Мало парковок
