source,target,regex,code
"/articles/","https://design.td-art.ru/folio",0,301
"/articles/interesnoe/dizajn-proekt-taunhausa/","https://design.td-art.ru/folio",0,301
"/portfolio/shome/","https://design.td-art.ru/shome",0,301
"/articles/gostinaya/","https://design.td-art.ru/folio",0,301
"/portfolio/west-garden/","https://design.td-art.ru/westgarden",0,301
"/poisk/","https://design.td-art.ru/folio",0,301
"/portfolio/kvartira-v-zhk-4-solnca/","https://design.td-art.ru/4suns",0,301
"/articles/interesnoe/stil-barokko/","https://design.td-art.ru/folio",0,301
"/portfolio/horoshevskij/","https://design.td-art.ru/horoshevski",0,301
"/articles/kitchen/modern/","https://design.td-art.ru/folio",0,301
"/articles/prihozhaya/high-tech/","https://design.td-art.ru/folio",0,301
"/articles/interesnoe/dizajn-interera-v-sovremennom-stile/","https://design.td-art.ru/folio",0,301
"/articles/interesnoe/osoznannyj-interer-opredeljaemsja-s-vyborom/","https://design.td-art.ru/folio",0,301
"/portfolio/fili-city/","https://design.td-art.ru/folio",0,301
"/portfolio/dom-v-poselke-novye-veshki/","https://design.td-art.ru/veshki",0,301
"/portfolio/spasskie-vyselki/","https://design.td-art.ru/house190",0,301
"/articles/kitchen/","https://design.td-art.ru/folio",0,301
"/portfolio/kvartira-v-starom-fonde/","https://design.td-art.ru/folio",0,301
"/portfolio/dom-v-novoj-moskve-160m2/","https://design.td-art.ru/house160",0,301
"/portfolio/kvartira-na-donskom-proezde/","https://design.td-art.ru/donskoy",0,301
"/portfolio/west-garden-50m2/","https://design.td-art.ru/westgarden50",0,301
"/articles/prihozhaya/","https://design.td-art.ru/folio",0,301
"/articles/interesnoe/kak-rasporyaditsya-prostranstvom-lodzhii/","https://design.td-art.ru/folio",0,301
"/articles/interesnoe/kak-ne-popast-na-novichka/","https://design.td-art.ru/folio",0,301
"^/(.*)$","https://design.td-art.ru/folio",1,301
